minute,mint,price_usd
2026-06-05 12:11:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.00000317014784695121
2026-06-05 12:12:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000004763384807877914
2026-06-05 12:13:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000005105738726967161
2026-06-05 12:14:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000005118269089607561
2026-06-05 12:15:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.0000059240091948073686
2026-06-05 12:16:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.0000064233346810061705
2026-06-05 12:17:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000006356606057998724
2026-06-05 12:19:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000006303276406799927
2026-06-05 12:20:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000006571077397450001
2026-06-05 12:23:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000007538672720554818
2026-06-05 12:25:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000007938087408154698
2026-06-05 12:26:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000008517662841775067
2026-06-05 12:27:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000008950485484191098
2026-06-05 12:28:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000006939726880107072
2026-06-05 12:29:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000005943661197456201
2026-06-05 12:30:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000008073789394802457
2026-06-05 12:33:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000005918680569074
2026-06-05 12:34:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000007172854180148906
2026-06-05 12:36:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000006438083973109971
2026-06-05 12:37:00.000 UTC,26suWkbYU1BySReb2h1P6wYEsmFbFmEwtAssm73gpump,0.000006150532213495513
