timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width_pct,dist_to_bb_lower,vol_sma_10,vol_spike,target
1788653400,0.045524082069230094,0.0460644120478104,0.045041657885458566,0.045712220763732186,8682.928300200305,75.50118417112915,0.0006427754893711807,0.00045587420208329014,0.00018690128728789053,0.04644574878078765,0.04155297486105608,0.10703426431676386,0.09098761410375468,8009.305043464728,1.084105081911598,1.0
1788653460,0.045712220763732186,0.04664120146275744,0.04538159480403638,0.046276774784764545,17095.87963968134,82.6876233680615,0.0007121895891975399,0.0005071372795061401,0.00020505230969139986,0.046767449617180795,0.04154438281261841,0.11286583451105045,0.10226278720063606,9501.93651739332,1.7991995219487404,1.0
1788653520,0.046276774784764545,0.04688930082566311,0.045924278563000374,0.04649406908243094,11961.10716400135,80.9170421946871,0.0007757917528161129,0.0005608681741681347,0.00021492357864797817,0.047094867860834014,0.04152431934149113,0.11981202396948017,0.10688997196887136,8918.68564015716,1.3411289114334766,1.0
1788653580,0.04649406908243094,0.047465304717254575,0.04649406908243094,0.04701501320097863,13122.647353125883,80.72712436213965,0.0008583383719134932,0.0006203622137172064,0.00023797615819628679,0.047483676335471174,0.04151107048888054,0.12703614101008728,0.11706776915216366,9598.286559714184,1.3671864526533417,1.0
1788653640,0.04701501320097863,0.048954879363564206,0.04692909264564365,0.04842692101278193,33598.99667773896,82.88362689364573,0.001025860837710127,0.0007014619385157906,0.00032439889919433633,0.048140973706876505,0.0413999976465121,0.13919893975058154,0.14510365762083297,12169.959626129512,2.7608141448226533,1.0
1788653700,0.04842692101278193,0.04876637919861884,0.04781539784034741,0.04805721325151781,6436.678491918895,77.93670760174037,0.0011159275540287492,0.0007843550616183823,0.00033157249241036685,0.04856782569672704,0.04150445724444484,0.1469783196814708,0.13635322491085164,12545.611849288694,0.5130621423046687,1.0
1788653760,0.04805721325151781,0.04999208228280109,0.04783226082084927,0.04959603371135611,38197.67027610922,80.57812719543068,0.00129653043051587,0.0008867901353978799,0.0004097402951179902,0.049231724030497054,0.04157433303652093,0.1543952292342844,0.16174076986721692,15854.82001006154,2.4092150053970216,1.0
1788653820,0.04959603371135611,0.05160456221185138,0.04921350279494056,0.05042494815470689,36285.97227778802,81.77559344675686,0.0014893773642073727,0.0010073075811597785,0.0004820697830475941,0.049888484212199415,0.041781275052880366,0.16077773911528126,0.17141659869053696,18483.648057305625,1.9631391035627335,1.0
1788653880,0.05042494815470689,0.05091109992589034,0.0496933670535413,0.04973111556397886,16178.201615335622,77.65060406230394,0.0015681468364807313,0.0011194754322239693,0.00044867140425676206,0.050306706734668805,0.04207193436258451,0.1655859169595803,0.1540118518262646,19155.131013645056,0.8445884083910032,1.0
1788653940,0.04973111556397886,0.05032428784054252,0.04902355651640467,0.04954633195704939,23875.61751873907,74.42320523241425,0.0015972496186323695,0.0012150302695056493,0.0003822193491267202,0.05063509389845342,0.04237571790562785,0.1667000495613972,0.1447254270535624,20543.56993146387,1.1621941852555988,1.0
