mint,dev_holding_pct,top_10_holding_pct,tx_velocity_1m,has_socials,funded_from_cex,is_success
4zM8v7jJpbnwAKHmgn3zzhwqfLXrWSmxGSoDThZCpump,6.390909090909,11.234490075958,6,1,0,0
Fd9L2MZqu7wtKyKPkxpxo1my2s1kDtUhG4ynNS2R1mxZ,67.0624999999999,67.84780031075161,11,1,0,1
HDyDvfnHcuUEXhTTwk9zAgAtVaydtAsMvhEkvCe7pump,0.0,0.1685058260714,10,1,0,0
9TsCLGnaBPM6coNaNLnkLf2GbY6DcrUMe4ymAYt9pump,9.523799999999999e-09,0.6521598056254,11,1,0,0
G1pGLoLJ5xDmbMWPMGgQAkvyeSmfYS4cjiGmapZWpump,1.7590163934426002,5.1548568537098,7,1,0,0
AEZcQVJfoN9SZCKxYuumwWc1bL7YdyVm1ipBtcD7pump,68.8697674418604,72.79560656843441,46,1,0,1
7MqxWwzTUN9vPzFoa2EqwNsze7Q4b9QvJFaDKkaFpump,0.19635667942100002,0.3411197006828,7,1,0,0
SwSKxd7bGaK8pQpo9TA1fB8oc2V2LTRXGSi9NgXpump,0.0,8.3183366719561,6,1,0,0
8aYCK4wHq4XKyaTE7ydAWKKXeeqZ4T9hTMvVzkWxpump,0.71059602649,20.4657073909256,25,1,0,0
GTkaF82GycWyAYhz2MC7vsGuwvo26SSt7yccmYF5kHn5,0.0,0.1394815732042,7,1,0,0
kjm4CfBppFDSD1ZgukCYobv8CtWQDWZLXcNTCwvpump,2.7870129870129,2.7870129870519,5,1,0,0
3L6zs5DWYaBwHu6eYm6NcUAumktmKDWQWbDVdi2Rpump,9.7545454545454,16.1693580475251,10,1,0,0
9zg8aoo5FHhDM5yiLDrTpN61s6mv395N3QdnuRFepump,0.0,17.9527931076917,18,1,0,1
J9Z5G8ykQUE4FWNDiiaKiQzAFJbubbaa9MpEtKRUpump,0.0,0.2894655659312,5,1,0,0
Hs86NhryupTQbV29tBhndr28LmHeZDvoemcssKjFpump,0.0,8.6102604961547,13,1,0,0
f6s1GEpvtcK3kasfXLpFS6TcK9C5mqon8ZUEEtf7aSS,7.15332856e-05,0.0733037963213,2,1,0,0
8BofbTn5v11XzCdvwKUEBcqsVBn3dufEDNQ5A85Qpump,2.7870129870129,5.972397656048,6,1,0,0
JCgPtHgojGhr21bXGPx962wrn3XwB9ZvnbVwxjAepump,0.0,7.779287329446399,16,1,0,0
Gp3kWLN4i6yiPcnFQ2DYRJtfE9K7yWLiFUGabjBHpump,0.0,1.1026625679619,15,1,0,0
57FCUai33RMXCekVZ7uBzxTchwWnzYEkxMKBmobZpump,0.8065712900097,18.3314433597449,33,1,0,0
2MTqTvhGvbM86buHfNAypdpeAuih4W67EYbTUXEDpump,0.0,12.6235294117647,1,1,0,0
749tC7yqKz1GT6qvwLRkdcNvsoe9o3FrJrdxAS1Bpump,6.7062499999998995,38.0198580116926,179,1,0,0
HSoZfXHAsCzo9YwnEynDm4ZdDJdJXvGzoxLmpV5Rpump,0.0,0.17247311731599999,14,1,0,0
Cqc97gN2CW15QoUjuEkn8MRmF6KBeT6v8fxScvQhpump,0.0,0.5744238437167,6,1,0,0
2vVh4TkQV2GMxCdWHwXuc5yu8Pj8STAHF5dwYB2EjCmw,0.0,0.29051478099190003,10,1,0,0
